name,date,tithiDate,panchang,description
Diwali,2025-10-20,Kartik Amavasya,Deepawali - Festival of Lights,The biggest festival of lights celebrated across India
Holi,2026-03-13,Phalguna Purnima,Holika Dahan the night before,Festival of colors celebrating the triumph of good over evil
Navratri,2025-10-02,Ashwin Shukla Pratipada,Nine nights of Durga worship,Nine-day festival dedicated to Goddess Durga
Dussehra,2025-10-02,Ashwin Shukla Dashami,Vijaya Dashami,Celebration of Lord Ram's victory over Ravana
Ganesh Chaturthi,2025-08-27,Bhadrapada Shukla Chaturthi,Ganesh Sthapana Day,Festival welcoming Lord Ganesha
Janmashtami,2025-08-16,Bhadrapada Krishna Ashtami,Lord Krishna's Birthday,Birth anniversary of Lord Krishna
Ram Navami,2026-03-30,Chaitra Shukla Navami,Chaitra Navratri ends,Birth anniversary of Lord Rama
Makar Sankranti,2026-01-14,Paush Sankranti,,Harvest festival marking the sun's transition
Basant Panchami,2026-02-02,Magh Shukla Panchami,Saraswati Puja,Day to worship Goddess Saraswati
Mahashivratri,2026-02-26,Magh Krishna Chaturdashi,The great night of Lord Shiva,Festival dedicated to Lord Shiva
